,Tool,Zelltyp,Marker,Anzahl Zellen,Marker in cells unc,Marker in cells corr,Marker counts unc,Marker counts corr,Cell counts unc,Cell counts corr,Entfernte_Marker_Counts,Entfernte_Marker_Counts_total,Entfernte % true Marker,Entfernt_%_vom_Marker,Entfernte_Zellen,Entfernt_%_Zellen,Entfernte % Marker pro Counts,ratio unc,ratio corr,change,log2fold
36,SoupX,MAIT cells,SLC4A10 (high),902,836,833,1666,1631,4224318,4141154,3,35,8.571428571428571,2.100840336134454,83164,1.9686964854445144,0.04208551777211293,1.0072289156626506,1.043859649122807,1.036367833459246,0.05153614329660606
37,SoupX,DC/pDC,IL3RA (moderate),693,1021,1015,9739,9548,6172748,6046761,6,191,3.1413612565445024,1.9611869801827702,125987,2.0410196560753815,0.1516029431608023,0.11711401697637072,0.11894995898277276,1.0156765351731762,0.02244101687091833
38,SoupX,DC,CD1C (high),362,2251,2243,3693,3617,3773462,3695080,8,76,10.526315789473683,2.057947468183049,78382,2.077190654099604,0.09696103697277436,1.5610263522884882,1.6324599708879184,1.045760674376001,0.06455272405483896
39,SoupX,HSC/MPP,CD34 (high),166,142,142,191,188,1559080,1525246,0,3,0.0,1.5706806282722512,33834,2.170125971726916,0.008866820358219542,2.8979591836734695,3.0869565217391304,1.0652173913043477,0.09114788805819514
40,DecontX°,all cells,PTPRC (broad),122541,799474,735858,799474,735858,391468128,362083680,63616,63616,100.0,7.957231879961074,29384448,7.506217211123762,0.21649547406845962,inf,inf,,
41,DecontX°,B cells,MS4A1 (high),1922,19486,18931,26182,24398,9489098,8719450,555,1784,31.109865470852014,6.813841570544649,769648,8.110865753520514,0.2317942747853564,2.910095579450418,3.4627766599597587,1.1899185320276375,0.2508628025558237
42,DecontX°,NK cells,KLRF1 (high),6821,12529,12187,15171,14263,24555744,21287782,342,908,37.66519823788546,5.985103157339662,3267962,13.308340402962337,0.027784900803620113,4.74224072672218,5.8704238921001926,1.2379008638302107,0.307895782252243
43,DecontX°,Monocytes/NK cells,FCGR3A (moderate),70251,99584,90495,124913,113598,183463984,168507152,9089,11315,80.3269995581087,9.05830457998767,14956832,8.1524622293169,0.07565104695967703,3.9316198823482966,3.9170237631476432,0.9962875049884183,-0.005365964876005861
44,DecontX°,Monocytes,CD14 (high),63430,82885,79992,108432,101597,158908272,147219376,2893,6835,42.32626188734455,6.303489744724805,11688896,7.355750492334345,0.058474299027042424,3.244412259756527,3.702476278639204,1.141185515960617,0.1905333413203909
45,DecontX°,B/T cells,CCR7 (moderate),31968,49619,48403,52241,48851,133003632,124243416,1216,3390,35.87020648967552,6.489156026875442,8760216,6.586448706904485,0.03869767594771636,18.92410373760488,108.04241071428571,5.709248491361316,2.513300856071553
46,DecontX°,MAIT cells,SLC4A10 (high),726,846,843,1762,1659,3235012,3109351,3,103,2.912621359223301,5.845629965947786,125661,3.884405992929856,0.08196656082635026,0.9235807860262009,1.0330882352941178,1.118568349325546,0.1616534139475812
47,DecontX°,DC/pDC,IL3RA (moderate),682,1029,1006,9883,9019,6066603,5558397,23,864,2.662037037037037,8.742284731356875,508206,8.377109891647764,0.17000979917592474,0.11621865823356675,0.12554598776987397,1.0802567305291195,0.11137421965315823
48,DecontX°,DC,CD1C (high),349,2203,2118,3731,3445,3644299,3323151,85,286,29.72027972027972,7.665505226480835,321148,8.812339492451086,0.08905551334587168,1.4417539267015707,1.5960813865862848,1.1070414701333833,0.14670926695700878
49,DecontX°,HSC/MPP,CD34 (high),59,163,162,219,203,543398,502551,1,16,6.25,7.30593607305936,40847,7.516958104372853,0.03917056332166377,2.9107142857142856,3.951219512195122,1.357474188238815,0.44092476609306774
50,scCDC,all cells,PTPRC (broad),121872,789844,353682,789844,353682,387318784,254843600,436162,436162,100.0,55.22128420295653,132475184,34.20313949968406,0.3292405315700486,inf,inf,,
51,scCDC,B cells,MS4A1 (high),2564,24232,6860,26002,8827,15009766,6716225,17372,17175,101.14701601164484,66.05261133758941,8293541,55.25429910099864,0.20708886590179032,13.69039548022599,3.487544483985765,0.25474388150605826,-1.9728805990433682
52,scCDC,NK cells,KLRF1 (high),6826,12438,10080,14958,12628,24558176,17982692,2358,2330,101.20171673819742,15.576948789945181,6575484,26.775131833895156,0.035434653935740704,4.935714285714286,3.956043956043956,0.8015139708337972,-0.31920042731231363
53,scCDC,Monocytes/NK cells,FCGR3A (moderate),70813,99907,85023,124068,96331,190378976,139483920,14884,27737,53.66117460431914,22.356288486958764,50895056,26.733548561580665,0.05449841729224151,4.135052357104424,7.518836222143615,1.8183170544927971,0.8626037798748529
54,scCDC,Monocytes,CD14 (high),63987,85218,54190,107860,68955,165820816,121501240,31028,38905,79.75324508417941,36.06990543296866,44319576,26.72738988330633,0.08778287951130219,3.7637134528751877,3.670165932949543,0.9751448878622304,-0.03631150323465066
55,scCDC,B/T cells,CCR7 (moderate),30790,48020,32652,51422,35354,126605184,74013432,15368,16068,95.6435150609908,31.247326047217143,52591752,41.539967273378,0.03055231930664717,14.11522633744856,12.084381939304219,0.8561238516766546,-0.22410857480924345
56,scCDC,MAIT cells,SLC4A10 (high),648,709,604,1713,1360,2696932,1630917,105,353,29.745042492917843,20.607122008172794,1066015,39.526951365477515,0.033113980572506016,0.7061752988047809,0.798941798941799,1.1313646913082738,0.17806405181526208
57,scCDC,DC/pDC,IL3RA (moderate),711,1044,505,9784,8659,6387334,2213244,539,1125,47.91111111111111,11.498364677023712,4174090,65.3494869690547,0.02695198234824836,0.1194508009153318,0.061932793720873194,0.5184795183145898,-0.9476410960313139
58,scCDC,DC,CD1C (high),380,2364,516,3706,1443,3989006,1165977,1848,2263,81.66151126822801,61.06314085267135,2823029,70.77023699638457,0.0801621237330541,1.7615499254843516,0.5566343042071198,0.3159912166861061,-1.6620436371796254
59,scCDC,HSC/MPP,CD34 (high),168,154,66,209,138,1577999,525823,88,71,123.94366197183098,33.97129186602871,1052176,66.67786228001412,0.0067479204999923974,2.8,0.9166666666666666,0.3273809523809524,-1.6109577092541008
