Dataset,Tool,Cell_Type,Uncorrected,Corrected,Change_Type,Pct_Change
PFC,SoupX,Endothelial cells,1004,1041,Stable,3.6852589641434266
PFC,SoupX,VLMCs,563,568,Stable,0.8880994671403196
PFC,SoupX,COP,548,575,Stable,4.927007299270073
PFC,SoupX,Pericytes,268,271,Stable,1.1194029850746268
PFC,SoupX,T cells,159,153,Stable,-3.7735849056603774
PFC,SoupX,Macrophages,141,144,Stable,2.127659574468085
PFC,SoupX,Total_Confident,68060,69784,Stable,2.5330590655304146
PFC,scAR,Oligodendrocytes,16623,17922,Changed (>5%),7.814473921674788
PFC,scAR,Astrocytes,11922,12861,Changed (>5%),7.876195269250126
PFC,scAR,OPCs,11532,12118,Changed (>5%),5.0815123135622615
PFC,scAR,Excitatory neurons,11099,15964,Changed (>5%),43.83277772772322
PFC,scAR,Inhibitory Interneurons,10164,10959,Changed (>5%),7.8217237308146395
PFC,scAR,Microglia,4037,4948,Changed (>5%),22.56626207579886
PFC,scAR,Endothelial cells,1004,2308,Changed (>5%),129.8804780876494
PFC,scAR,VLMCs,563,526,Changed (>5%),-6.571936056838366
PFC,scAR,COP,548,775,Changed (>5%),41.42335766423358
PFC,scAR,Pericytes,268,244,Changed (>5%),-8.955223880597014
PFC,scAR,T cells,159,9,Changed (>5%),-94.33962264150944
PFC,scAR,Macrophages,141,0,Loss,-100.0
PFC,scAR,Total_Confident,68060,78634,Changed (>5%),15.536291507493388
PFC,CellBender,Oligodendrocytes,16623,20672,Changed (>5%),24.35781748180232
PFC,CellBender,Astrocytes,11922,13890,Changed (>5%),16.50729743331656
PFC,CellBender,OPCs,11532,10859,Changed (>5%),-5.8359347901491505
PFC,CellBender,Excitatory neurons,11099,13558,Changed (>5%),22.15514911253266
PFC,CellBender,Inhibitory Interneurons,10164,11109,Changed (>5%),9.297520661157025
PFC,CellBender,Microglia,4037,5104,Changed (>5%),26.430517711171664
PFC,CellBender,Endothelial cells,1004,1416,Changed (>5%),41.03585657370518
PFC,CellBender,VLMCs,563,716,Changed (>5%),27.175843694493786
PFC,CellBender,COP,548,739,Changed (>5%),34.85401459854015
PFC,CellBender,Pericytes,268,259,Stable,-3.3582089552238807
PFC,CellBender,T cells,159,149,Changed (>5%),-6.289308176100629
PFC,CellBender,Macrophages,141,137,Stable,-2.8368794326241136
PFC,CellBender,Total_Confident,68060,78608,Changed (>5%),15.498089920658241
PFC,CellClear,Oligodendrocytes,16623,8644,Changed (>5%),-47.999759369548215
PFC,CellClear,Astrocytes,11922,6708,Changed (>5%),-43.734272773024664
PFC,CellClear,OPCs,11532,7638,Changed (>5%),-33.76690946930281
PFC,CellClear,Excitatory neurons,11099,8776,Changed (>5%),-20.929813496711418
PFC,CellClear,Inhibitory Interneurons,10164,6150,Changed (>5%),-39.49232585596222
PFC,CellClear,Microglia,4037,2861,Changed (>5%),-29.130542482041122
PFC,CellClear,Endothelial cells,1004,42964,Changed (>5%),4179.282868525896
PFC,CellClear,VLMCs,563,404,Changed (>5%),-28.24156305506217
PFC,CellClear,COP,548,360,Changed (>5%),-34.306569343065696
PFC,CellClear,Pericytes,268,190,Changed (>5%),-29.1044776119403
PFC,CellClear,T cells,159,143,Changed (>5%),-10.062893081761008
PFC,CellClear,Macrophages,141,108,Changed (>5%),-23.404255319148938
PFC,CellClear,Total_Confident,68060,84946,Changed (>5%),24.810461357625623
PFC,scCDC,Oligodendrocytes,16623,13758,Changed (>5%),-17.235156109005594
PFC,scCDC,Astrocytes,11922,9951,Changed (>5%),-16.532460996477102
PFC,scCDC,OPCs,11532,11872,Stable,2.9483177245924383
PFC,scCDC,Excitatory neurons,11099,11808,Changed (>5%),6.387962879538697
PFC,scCDC,Inhibitory Interneurons,10164,10908,Changed (>5%),7.319952774498228
PFC,scCDC,Microglia,4037,4034,Stable,-0.07431260837255388
PFC,scCDC,Endothelial cells,1004,2639,Changed (>5%),162.84860557768926
PFC,scCDC,VLMCs,563,582,Stable,3.374777975133215
PFC,scCDC,COP,548,593,Changed (>5%),8.211678832116789
PFC,scCDC,Pericytes,268,233,Changed (>5%),-13.059701492537313
PFC,scCDC,T cells,159,161,Stable,1.257861635220126
PFC,scCDC,Macrophages,141,143,Stable,1.4184397163120568
PFC,scCDC,Total_Confident,68060,66682,Stable,-2.024684102262709
